PATHWAY_ID	K	L1	# NODES	# EDGES	AVG. DIFF. EXP. CASES	AVG. INFO. CONTENT
1	0	15	47	54	32	0,1
2	0	15	46	53	31	0,09
3	0	15	46	61	31	0,09
4	0	15	45	50	30	0,08
5	0	15	45	61	30	0,08
6	0	15	45	50	30	0,08
7	0	15	45	64	30	0,08
8	0	15	45	49	30	0,08
9	0	15	45	50	30	0,08
10	0	15	45	53	30	0,08
11	0	15	45	52	30	0,08
12	0	15	45	54	30	0,08
13	0	15	44	53	29	0,07
14	0	15	44	49	29	0,07
15	0	15	44	50	29	0,07
16	0	15	44	56	29	0,07
17	0	15	44	48	29	0,07
18	0	15	43	50	28	0,07
19	0	15	43	45	28	0,07
20	0	15	43	47	28	0,07
1	0	50	98	126	48	0
2	0	50	94	116	44	0
3	0	50	93	110	43	0
4	0	50	92	104	42	0,01
5	0	50	92	120	42	0,01
6	0	50	92	112	42	0,01
7	0	50	92	122	42	0,01
8	0	50	92	119	42	0,01
9	0	50	91	102	41	0,01
10	0	50	91	108	41	0,01
11	0	50	91	108	41	0,01
12	0	50	90	117	40	0,01
13	0	50	90	108	40	0,01
14	0	50	90	107	40	0,01
15	0	50	90	105	40	0,01
16	0	50	90	125	40	0,01
17	0	50	90	106	40	0,01
18	0	50	90	113	40	0,01
19	0	50	90	102	40	0,01
20	0	50	90	108	40	0,01
1	0	35	76	84	41	0
2	0	35	76	90	41	0
3	0	35	75	107	40	0
4	0	35	74	83	39	0
5	0	35	74	84	39	0
6	0	35	73	87	38	0
7	0	35	73	80	38	0
8	0	35	73	90	38	0
9	0	35	73	87	38	0
10	0	35	72	90	37	0
11	0	35	72	84	37	0
12	0	35	72	84	37	0
13	0	35	72	93	37	0
14	0	35	72	95	37	0
15	0	35	72	94	37	0
16	0	35	72	73	37	0
17	0	35	72	88	37	0
18	0	35	72	81	37	0
19	0	35	72	84	37	0
20	0	35	72	85	37	0
1	0	20	56	68	36	0,06
2	0	20	55	63	35	0,05
3	0	20	53	59	33	0,04
4	0	20	53	66	33	0,04
5	0	20	53	61	33	0,04
6	0	20	53	62	33	0,04
7	0	20	53	66	33	0,04
8	0	20	52	64	32	0,04
9	0	20	52	57	32	0,04
10	0	20	52	59	32	0,04
11	0	20	52	57	32	0,04
12	0	20	52	63	32	0,04
13	0	20	52	60	32	0,04
14	0	20	52	57	32	0,04
15	0	20	52	66	32	0,04
16	0	20	52	60	32	0,04
17	0	20	52	66	32	0,04
18	0	20	51	59	31	0,03
19	0	20	51	65	31	0,03
20	0	20	51	54	31	0,03
1	0	40	81	102	41	0
2	0	40	80	94	40	0
3	0	40	80	93	40	0
4	0	40	80	90	40	0
5	0	40	80	99	40	0
6	0	40	79	88	39	0
7	0	40	79	95	39	0
8	0	40	79	94	39	0
9	0	40	78	99	38	0
10	0	40	78	93	38	0
11	0	40	78	99	38	0
12	0	40	78	95	38	0
13	0	40	78	80	38	0
14	0	40	77	86	37	0
15	0	40	77	81	37	0
16	0	40	77	77	37	0
17	0	40	77	103	37	0
18	0	40	77	88	37	0
19	0	40	77	91	37	0
20	0	40	77	87	37	0
1	0	25	64	81	39	0,03
2	0	25	62	83	37	0,03
3	0	25	61	77	36	0,02
4	0	25	61	69	36	0,02
5	0	25	59	66	34	0,02
6	0	25	59	69	34	0,02
7	0	25	59	69	34	0,02
8	0	25	59	69	34	0,02
9	0	25	59	75	34	0,02
10	0	25	59	70	34	0,02
11	0	25	59	76	34	0,02
12	0	25	59	67	34	0,02
13	0	25	58	75	33	0,01
14	0	25	58	69	33	0,01
15	0	25	58	76	33	0,01
16	0	25	58	60	33	0,01
17	0	25	58	62	33	0,01
18	0	25	58	66	33	0,01
19	0	25	58	65	33	0,01
20	0	25	58	69	33	0,01
1	0	45	86	96	41	0
2	0	45	86	101	41	0
3	0	45	85	106	40	0
4	0	45	85	102	40	0
5	0	45	85	108	40	0
6	0	45	84	95	39	0
7	0	45	84	97	39	0
8	0	45	84	109	39	0
9	0	45	84	106	39	0
10	0	45	84	101	39	0
11	0	45	84	102	39	0
12	0	45	84	98	39	0
13	0	45	84	95	39	0
14	0	45	84	92	39	0
15	0	45	84	106	39	0
16	0	45	84	107	39	0
17	0	45	83	99	38	0,01
18	0	45	83	112	38	0,01
19	0	45	83	95	38	0,01
20	0	45	83	107	38	0,01
1	0	30	69	75	39	0,01
2	0	30	68	75	38	0,01
3	0	30	68	82	38	0,01
4	0	30	67	73	37	0,01
5	0	30	66	78	36	0,01
6	0	30	66	76	36	0,01
7	0	30	66	70	36	0,01
8	0	30	66	79	36	0,01
9	0	30	66	73	36	0,01
10	0	30	66	71	36	0,01
11	0	30	65	78	35	0
12	0	30	65	100	35	0
13	0	30	65	73	35	0
14	0	30	65	76	35	0
15	0	30	65	74	35	0
16	0	30	65	81	35	0
17	0	30	65	77	35	0
18	0	30	65	72	35	0
19	0	30	65	72	35	0
20	0	30	65	70	35	0
