PATHWAY_ID	K	L1	# NODES	# EDGES	AVG. DIFF. EXP. CASES	AVG. INFO. CONTENT
1	0	15	15	15	0	1
2	0	15	15	14	0	1
3	0	15	15	16	0	1
4	0	15	15	14	0	1
5	0	15	15	19	0	1
6	0	15	15	14	0	1
7	0	15	15	16	0	1
8	0	15	15	18	0	1
9	0	15	15	17	0	1
10	0	15	15	14	0	1
11	0	15	15	15	0	1
12	0	15	15	15	0	1
13	0	15	15	14	0	1
14	0	15	15	15	0	1
15	0	15	15	16	0	1
16	0	15	15	15	0	1
17	0	15	15	14	0	1
18	0	15	15	15	0	1
19	0	15	15	14	0	1
20	0	15	15	14	0	1
1	0	50	50	55	0	1
2	0	50	50	56	0	1
3	0	50	50	52	0	1
4	0	50	50	50	0	1
5	0	50	50	60	0	1
6	0	50	50	54	0	1
7	0	50	50	54	0	1
8	0	50	50	55	0	1
9	0	50	50	52	0	1
10	0	50	50	57	0	1
11	0	50	50	57	0	1
12	0	50	50	57	0	1
13	0	50	50	57	0	1
14	0	50	50	53	0	1
15	0	50	50	57	0	1
16	0	50	50	61	0	1
17	0	50	50	52	0	1
18	0	50	50	66	0	1
19	0	50	50	58	0	1
20	0	50	50	64	0	1
1	0	35	35	36	0	1
2	0	35	35	37	0	1
3	0	35	35	44	0	1
4	0	35	35	34	0	1
5	0	35	35	39	0	1
6	0	35	35	35	0	1
7	0	35	35	40	0	1
8	0	35	35	36	0	1
9	0	35	35	35	0	1
10	0	35	35	35	0	1
11	0	35	35	38	0	1
12	0	35	35	40	0	1
13	0	35	35	39	0	1
14	0	35	35	38	0	1
15	0	35	35	39	0	1
16	0	35	35	43	0	1
17	0	35	35	51	0	1
18	0	35	35	38	0	1
19	0	35	35	39	0	1
20	0	35	35	36	0	1
1	0	20	20	22	0	1
2	0	20	20	19	0	1
3	0	20	20	22	0	1
4	0	20	20	21	0	1
5	0	20	20	21	0	1
6	0	20	20	27	0	1
7	0	20	20	20	0	1
8	0	20	20	20	0	1
9	0	20	20	20	0	1
10	0	20	20	19	0	1
11	0	20	20	19	0	1
12	0	20	20	20	0	1
13	0	20	20	20	0	1
14	0	20	20	21	0	1
15	0	20	20	19	0	1
16	0	20	20	21	0	1
17	0	20	20	24	0	1
18	0	20	20	20	0	1
19	0	20	20	21	0	1
20	0	20	20	21	0	1
1	0	40	40	39	0	1
2	0	40	40	41	0	1
3	0	40	40	40	0	1
4	0	40	40	39	0	1
5	0	40	40	45	0	1
6	0	40	40	47	0	1
7	0	40	40	43	0	1
8	0	40	40	47	0	1
9	0	40	40	41	0	1
10	0	40	40	50	0	1
11	0	40	40	41	0	1
12	0	40	40	45	0	1
13	0	40	40	55	0	1
14	0	40	40	43	0	1
15	0	40	40	44	0	1
16	0	40	40	40	0	1
17	0	40	40	46	0	1
18	0	40	40	44	0	1
19	0	40	40	42	0	1
20	0	40	40	42	0	1
1	0	25	25	28	0	1
2	0	25	25	28	0	1
3	0	25	25	30	0	1
4	0	25	25	26	0	1
5	0	25	25	25	0	1
6	0	25	25	27	0	1
7	0	25	25	26	0	1
8	0	25	25	28	0	1
9	0	25	25	28	0	1
10	0	25	25	27	0	1
11	0	25	25	29	0	1
12	0	25	25	25	0	1
13	0	25	25	25	0	1
14	0	25	25	27	0	1
15	0	25	25	25	0	1
16	0	25	25	25	0	1
17	0	25	25	27	0	1
18	0	25	25	26	0	1
19	0	25	25	25	0	1
20	0	25	25	24	0	1
1	0	45	45	56	0	1
2	0	45	45	50	0	1
3	0	45	45	47	0	1
4	0	45	45	45	0	1
5	0	45	45	51	0	1
6	0	45	45	52	0	1
7	0	45	45	53	0	1
8	0	45	45	64	0	1
9	0	45	45	49	0	1
10	0	45	45	47	0	1
11	0	45	45	47	0	1
12	0	45	45	49	0	1
13	0	45	45	46	0	1
14	0	45	45	51	0	1
15	0	45	45	47	0	1
16	0	45	45	51	0	1
17	0	45	45	48	0	1
18	0	45	45	57	0	1
19	0	45	45	51	0	1
20	0	45	45	61	0	1
1	0	30	30	34	0	1
2	0	30	30	31	0	1
3	0	30	30	29	0	1
4	0	30	30	36	0	1
5	0	30	30	30	0	1
6	0	30	30	29	0	1
7	0	30	30	35	0	1
8	0	30	30	37	0	1
9	0	30	30	31	0	1
10	0	30	30	36	0	1
11	0	30	30	29	0	1
12	0	30	30	33	0	1
13	0	30	30	32	0	1
14	0	30	30	29	0	1
15	0	30	30	32	0	1
16	0	30	30	29	0	1
17	0	30	30	33	0	1
18	0	30	30	32	0	1
19	0	30	30	36	0	1
20	0	30	30	29	0	1
