PATHWAY_ID	K	L1	# NODES	# EDGES	AVG. DIFF. EXP. CASES	AVG. INFO. CONTENT
01	0	1	3	2	2	0,08
02	0	1	2	1	1	0
03	0	1	2	1	1	0
04	0	1	2	1	1	0
05	0	1	2	1	1	0
06	0	1	2	1	1	0
07	0	1	2	1	1	0
08	0	1	2	1	1	0
09	0	1	2	1	1	0
10	0	1	2	1	1	0
11	0	1	2	1	1	0
12	0	1	2	1	1	0
13	0	1	2	1	1	0
14	0	1	2	1	1	0
15	0	1	2	1	1	0
16	0	1	2	1	1	0
17	0	1	2	1	1	0
18	0	1	2	1	1	0
19	0	1	2	1	1	0
20	0	1	2	1	1	0
01	0	2	4	3	2	0
02	0	2	4	3	2	0
03	0	2	4	3	2	0
04	0	2	4	3	2	0
05	0	2	4	3	2	0
06	0	2	4	3	2	0
07	0	2	4	3	2	0
08	0	2	4	3	2	0
09	0	2	4	3	2	0
10	0	2	4	3	2	0
11	0	2	4	3	2	0
12	0	2	4	3	2	0
13	0	2	4	3	2	0
14	0	2	3	2	1	0,08
15	0	2	3	2	1	0,08
16	0	2	3	2	1	0,08
17	0	2	3	2	1	0,08
18	0	2	3	2	1	0,08
19	0	2	3	2	1	0,08
20	0	2	3	2	1	0,08
01	0	3	5	4	2	0,03
02	0	3	5	4	2	0,03
03	0	3	5	4	2	0,03
04	0	3	5	4	2	0,03
05	0	3	5	4	2	0,03
06	0	3	5	4	2	0,03
07	0	3	5	4	2	0,03
08	0	3	5	4	2	0,03
09	0	3	5	4	2	0,03
10	0	3	5	4	2	0,03
11	0	3	5	4	2	0,03
12	0	3	5	5	2	0,03
13	0	3	5	4	2	0,03
14	0	3	5	4	2	0,03
15	0	3	5	4	2	0,03
16	0	3	5	4	2	0,03
17	0	3	5	4	2	0,03
18	0	3	5	4	2	0,03
19	0	3	5	4	2	0,03
20	0	3	5	4	2	0,03
01	0	4	6	5	2	0,08
02	0	4	6	6	2	0,08
03	0	4	6	5	2	0,08
04	0	4	6	5	2	0,08
05	0	4	6	5	2	0,08
06	0	4	6	5	2	0,08
07	0	4	6	5	2	0,08
08	0	4	6	5	2	0,08
09	0	4	6	5	2	0,08
10	0	4	6	5	2	0,08
11	0	4	6	5	2	0,08
12	0	4	6	5	2	0,08
13	0	4	6	5	2	0,08
14	0	4	6	5	2	0,08
15	0	4	6	5	2	0,08
16	0	4	6	6	2	0,08
17	0	4	6	5	2	0,08
18	0	4	6	5	2	0,08
19	0	4	6	5	2	0,08
20	0	4	6	5	2	0,08
01	0	5	7	6	2	0,14
02	0	5	7	6	2	0,14
03	0	5	7	7	2	0,14
04	0	5	7	6	2	0,14
05	0	5	7	6	2	0,14
06	0	5	7	6	2	0,14
07	0	5	7	6	2	0,14
08	0	5	7	7	2	0,14
09	0	5	7	6	2	0,14
10	0	5	7	6	2	0,14
11	0	5	7	6	2	0,14
12	0	5	7	6	2	0,14
13	0	5	7	6	2	0,14
14	0	5	7	6	2	0,14
15	0	5	7	6	2	0,14
16	0	5	7	6	2	0,14
17	0	5	7	7	2	0,14
18	0	5	7	7	2	0,14
19	0	5	7	8	2	0,14
20	0	5	7	6	2	0,14
01	0	6	8	8	2	0,19
02	0	6	8	8	2	0,19
03	0	6	8	8	2	0,19
04	0	6	8	7	2	0,19
05	0	6	8	8	2	0,19
06	0	6	8	7	2	0,19
07	0	6	8	7	2	0,19
08	0	6	8	7	2	0,19
09	0	6	8	11	2	0,19
10	0	6	8	8	2	0,19
11	0	6	8	8	2	0,19
12	0	6	8	7	2	0,19
13	0	6	8	7	2	0,19
14	0	6	8	7	2	0,19
15	0	6	8	7	2	0,19
16	0	6	8	7	2	0,19
17	0	6	8	7	2	0,19
18	0	6	8	7	2	0,19
19	0	6	8	7	2	0,19
20	0	6	8	7	2	0,19
01	0	7	9	8	2	0,24
02	0	7	9	8	2	0,24
03	0	7	9	8	2	0,24
04	0	7	9	8	2	0,24
05	0	7	9	8	2	0,24
06	0	7	9	8	2	0,24
07	0	7	9	8	2	0,24
08	0	7	9	8	2	0,24
09	0	7	9	8	2	0,24
10	0	7	9	9	2	0,24
11	0	7	9	8	2	0,24
12	0	7	9	8	2	0,24
13	0	7	9	9	2	0,24
14	0	7	9	9	2	0,24
15	0	7	9	8	2	0,24
16	0	7	9	8	2	0,24
17	0	7	9	8	2	0,24
18	0	7	9	12	2	0,24
19	0	7	9	9	2	0,24
20	0	7	9	8	2	0,24
01	0	8	10	11	2	0,28
02	0	8	10	9	2	0,28
03	0	8	10	10	2	0,28
04	0	8	10	9	2	0,28
05	0	8	10	10	2	0,28
06	0	8	10	10	2	0,28
07	0	8	10	10	2	0,28
08	0	8	10	9	2	0,28
09	0	8	10	9	2	0,28
10	0	8	10	9	2	0,28
11	0	8	10	11	2	0,28
12	0	8	10	9	2	0,28
13	0	8	10	12	2	0,28
14	0	8	10	9	2	0,28
15	0	8	10	9	2	0,28
16	0	8	10	9	2	0,28
17	0	8	10	9	2	0,28
18	0	8	10	13	2	0,28
19	0	8	10	9	2	0,28
20	0	8	10	9	2	0,28
01	0	9	11	10	2	0,32
02	0	9	11	10	2	0,32
03	0	9	11	10	2	0,32
04	0	9	11	10	2	0,32
05	0	9	11	10	2	0,32
06	0	9	11	12	2	0,32
07	0	9	11	14	2	0,32
08	0	9	11	15	2	0,32
09	0	9	11	10	2	0,32
10	0	9	11	11	2	0,32
11	0	9	11	10	2	0,32
12	0	9	11	10	2	0,32
13	0	9	11	10	2	0,32
14	0	9	11	12	2	0,32
15	0	9	11	10	2	0,32
16	0	9	11	12	2	0,32
17	0	9	11	10	2	0,32
18	0	9	11	10	2	0,32
19	0	9	11	14	2	0,32
20	0	9	11	10	2	0,32
01	0	10	12	15	2	0,35
02	0	10	12	11	2	0,35
03	0	10	12	15	2	0,35
04	0	10	12	11	2	0,35
05	0	10	12	12	2	0,35
06	0	10	12	13	2	0,35
07	0	10	12	11	2	0,35
08	0	10	12	11	2	0,35
09	0	10	12	12	2	0,35
10	0	10	12	11	2	0,35
11	0	10	12	11	2	0,35
12	0	10	12	11	2	0,35
13	0	10	12	11	2	0,35
14	0	10	12	11	2	0,35
15	0	10	12	12	2	0,35
16	0	10	12	12	2	0,35
17	0	10	12	11	2	0,35
18	0	10	12	11	2	0,35
19	0	10	12	11	2	0,35
20	0	10	12	14	2	0,35
01	0	11	13	13	2	0,38
02	0	11	13	13	2	0,38
03	0	11	13	15	2	0,38
04	0	11	13	13	2	0,38
05	0	11	13	12	2	0,38
06	0	11	13	15	2	0,38
07	0	11	13	14	2	0,38
08	0	11	13	12	2	0,38
09	0	11	13	12	2	0,38
10	0	11	13	12	2	0,38
11	0	11	13	13	2	0,38
12	0	11	13	13	2	0,38
13	0	11	13	13	2	0,38
14	0	11	13	13	2	0,38
15	0	11	13	13	2	0,38
16	0	11	13	14	2	0,38
17	0	11	13	12	2	0,38
18	0	11	13	12	2	0,38
19	0	11	13	14	2	0,38
20	0	11	13	12	2	0,38
01	0	12	14	19	2	0,41
02	0	12	14	14	2	0,41
03	0	12	14	14	2	0,41
04	0	12	14	14	2	0,41
05	0	12	14	15	2	0,41
06	0	12	14	14	2	0,41
07	0	12	14	13	2	0,41
08	0	12	14	13	2	0,41
09	0	12	14	14	2	0,41
10	0	12	14	15	2	0,41
11	0	12	14	15	2	0,41
12	0	12	14	13	2	0,41
13	0	12	14	15	2	0,41
14	0	12	14	14	2	0,41
15	0	12	14	14	2	0,41
16	0	12	14	18	2	0,41
17	0	12	14	14	2	0,41
18	0	12	14	13	2	0,41
19	0	12	14	13	2	0,41
20	0	12	14	16	2	0,41
01	0	13	15	14	2	0,43
