PATHWAY_ID	K	L1	# NODES	# EDGES	AVG. DIFF. EXP. CASES	AVG. INFO. CONTENT
1	15	0	77	90	62	0,29
2	15	0	77	89	62	0,29
3	15	0	76	91	61	0,28
4	15	0	76	85	61	0,28
5	15	0	75	89	61	0,31
6	15	0	76	89	61	0,28
7	15	0	76	94	61	0,28
8	15	0	76	90	61	0,28
9	15	0	76	90	61	0,28
10	15	0	76	88	61	0,28
11	15	0	76	91	61	0,28
12	15	0	76	91	61	0,28
13	15	0	76	94	61	0,28
14	15	0	76	88	61	0,28
15	15	0	76	93	61	0,28
16	15	0	76	92	61	0,28
17	15	0	76	90	61	0,28
18	15	0	76	88	61	0,28
19	15	0	76	90	61	0,28
20	15	0	76	90	61	0,28
1	45	0	140	185	96	0,1
2	45	0	140	166	96	0,1
3	45	0	141	186	96	0,1
4	45	0	140	164	96	0,1
5	45	0	140	170	96	0,1
6	45	0	140	174	96	0,1
7	45	0	141	165	96	0,1
8	45	0	141	165	96	0,1
9	45	0	140	185	96	0,1
10	45	0	139	180	95	0,1
11	45	0	139	185	95	0,1
12	45	0	140	165	95	0,09
13	45	0	139	170	95	0,1
14	45	0	139	172	95	0,1
15	45	0	139	176	95	0,1
16	45	0	139	170	95	0,1
17	45	0	138	161	95	0,1
18	45	0	139	170	95	0,1
19	45	0	139	185	95	0,1
20	45	0	138	164	95	0,1
1	25	0	100	117	75	0,19
2	25	0	100	112	75	0,19
3	25	0	99	120	74	0,18
4	25	0	98	119	74	0,2
5	25	0	99	119	74	0,18
6	25	0	98	110	74	0,2
7	25	0	98	116	74	0,2
8	25	0	99	107	74	0,18
9	25	0	98	122	74	0,2
10	25	0	99	121	74	0,18
11	25	0	99	118	74	0,18
12	25	0	98	114	74	0,2
13	25	0	98	115	74	0,2
14	25	0	99	121	74	0,18
15	25	0	98	116	74	0,2
16	25	0	99	115	74	0,18
17	25	0	99	118	74	0,18
18	25	0	98	112	74	0,2
19	25	0	99	112	74	0,18
20	25	0	99	117	74	0,18
1	5	0	41	47	36	0,47
2	5	0	41	46	36	0,47
3	5	0	41	47	36	0,47
4	5	0	41	48	36	0,47
5	5	0	41	46	36	0,47
6	5	0	41	45	36	0,47
7	5	0	41	47	36	0,47
8	5	0	41	45	36	0,47
9	5	0	41	46	36	0,47
10	5	0	41	45	36	0,47
11	5	0	41	46	36	0,47
12	5	0	41	47	36	0,47
13	5	0	41	41	36	0,47
14	5	0	41	47	36	0,47
15	5	0	41	47	36	0,47
16	5	0	40	46	35	0,46
17	5	0	40	46	35	0,46
18	5	0	40	45	35	0,46
19	5	0	40	50	35	0,46
20	5	0	40	45	35	0,46
1	35	0	122	136	87	0,14
2	35	0	121	157	86	0,13
3	35	0	121	146	86	0,13
4	35	0	121	139	86	0,13
5	35	0	121	146	86	0,13
6	35	0	120	145	86	0,14
7	35	0	120	156	85	0,13
8	35	0	120	148	85	0,13
9	35	0	120	154	85	0,13
10	35	0	120	135	85	0,13
11	35	0	119	137	85	0,14
12	35	0	120	144	85	0,13
13	35	0	119	147	85	0,14
14	35	0	119	155	85	0,14
15	35	0	119	138	85	0,14
16	35	0	120	141	85	0,13
17	35	0	119	145	85	0,14
18	35	0	120	147	85	0,13
19	35	0	118	141	85	0,15
20	35	0	119	146	85	0,14
