2	ADRB2	pp	KCNJ5
2	RELB	pp	UBC
2	RELB	pp	NFKB2
2	RELB	pp	NFKBIA
2	RELB	pp	BCL3
2	SOCS3	pp	PTK2B
2	UBC	pp	ERBB2
2	UBC	pp	MARK4
2	UBC	pp	PPARGC1A
2	UBC	pp	SNCAIP
2	UBC	pp	NFKB2
2	UBC	pp	NFKBIA
2	UBC	pp	FOSL1
2	UBC	pp	BCL3
2	UBC	pp	UBA1
2	ERBB2	pp	PTK2B
2	ERBB2	pp	DLG4
2	PTK2B	pp	DLG4
2	PTK2B	pp	IL7R
2	RIBC2	pp	KRT15
2	NFKB2	pp	BCL3
2	UBE2N	pp	DZIP3
2	UBA1	pp	DZIP3
3	RB1	pp	ATF2
3	RB1	pp	TGM2
3	RB1	pp	SERPINB2
3	RB1	pp	ARNT
3	RB1	pp	PAX6
3	RB1	pp	AR
3	RB1	pp	MORF4L2
3	RB1	pp	RBBP9
3	RB1	pp	MNAT1
3	YWHAE	pp	TNFAIP3
3	YWHAE	pp	LRMP
3	YWHAE	pp	CGNL1
3	YWHAE	pp	MYH10
3	YWHAE	pp	MDM4
3	ATF2	pp	ATF3
3	ATF2	pp	MAPK1
3	ATF2	pp	SMAD4
3	Arl5b	pp	SMAD4
3	CIITA	pp	RFX5
3	CIITA	pp	MAPK1
3	CIITA	pp	RFXANK
3	TGFB1I1	pp	AR
3	TNFAIP3	pp	NDUFS1
3	TNFAIP3	pp	TNIP1
3	PLAT	pp	PLAU
3	TNF	pp	UBE2N
3	BACH1	pp	TP53
3	BACH1	pp	UBC
3	SAT1	pp	UTP14A
3	SAT1	pp	RBM17
3	SAT1	pp	TP53
3	SAT1	pp	LNX1
3	PLAU	pp	SERPINB2
3	PLAU	pp	PLAUR
3	NFKBIZ	pp	NFKB2
3	MAP3K8	pp	NFKB2
3	UTP14A	pp	PDZK1IP1
3	IKBKE	pp	UBC
3	IKBKE	pp	MYH10
3	KRT6B	pp	KRT15
3	IER3	pp	MAPK1
3	VAV3	pp	EGFR
3	TSC22D3	pp	NFKB2
3	PARD3B	pp	SFN
3	PARD3B	pp	SMAD4
3	AR	pp	TP53
3	AR	pp	EGFR
3	AR	pp	UBC
3	AR	pp	MAPK1
3	AR	pp	SMAD4
3	AR	pp	POU2F2
3	PLSCR1	pp	SLPI
3	PLSCR1	pp	DTX2
3	PLSCR1	pp	EGFR
3	PLSCR1	pp	YIPF3
3	IL1B	pp	UBE2N
3	PSME3	pp	TP53
3	RFX5	pp	RFXANK
3	IRF7	pp	UBC
3	KCTD17	pp	LNX1
3	TP53	pp	FKBP3
3	TP53	pp	ATF3
3	TP53	pp	S100A8
3	TP53	pp	UBC
3	TP53	pp	IGF2BP1
3	TP53	pp	MAPK1
3	TP53	pp	SFN
3	TP53	pp	BRD8
3	TP53	pp	NFKBIA
3	TP53	pp	AIMP2
3	TP53	pp	UBE2N
3	TP53	pp	MDM4
3	TP53	pp	MNAT1
3	S100A9	pp	S100A8
3	BIRC3	pp	UBC
3	BIRC3	pp	UBE2N
3	BIRC3	pp	XAF1
3	HBEGF	pp	EGFR
