ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE
CFDP1	0	0	1
C1D	0	0	3
IL2RA	0	0	1
IL2RB	1	0	13
GAPDH	0	0	29
NOP56	0	0	3
PIWIL3	0	0	1
ZMYND8	0	0	3
PIWIL2	0	0	1
SRC	7	0	123
C1R	0	0	3
PIWIL4	0	0	1
ALAS2	0	0	1
UHRF2	0	0	5
C1S	0	1,00	3
UHRF1	0	0	6
SRF	0	0	44
DYSF	0	0	1
SRI	0	0	9
LENG8	0	0	3
U2AF2	0	0	19
U2AF1	0	0	11
SRM	0	0	2
TNFSF13B	0	0	4
Ptpn6	0	0	1
MALT1	0	0	4
SRR	0	0	2
SRY	0	0	3
FBXO5	0	0	6
Cxxc1	0	0	1
Arrb2	0	0	5
KRIT1	0	0	3
FBXO4	0	0	6
FBXO7	0	0	9
RNMTL1	0	0	7
FBXO6	0	0	1
NEO1	0	0	1
KCNJ1	0	0	4
KCNJ2	0	0	4
PIWIL1	0	0	3
MBL2	0	0	4
KCNJ3	0	0	5
KCNJ4	0	0	11
SSB	0	0	4
PEX19	0	0	11
FBXO3	0	0	2
FBXO2	0	0	5
GPKOW	0	0	1
PEX10	0	0	6
PEX12	0	0	3
PEX13	0	0	4
APM2	0	0	1
PEX14	0	0	7
PEX16	0	0	1
ST5	0	0	2
Apc	0	0	1
SST	0	0	1
ST7	0	0	6
FLYWCH1	0	0	1
BRE	0	0	29
APLF	0	0	1
SUB1	0	0	8
Keap1	0	0	1
MTCP1	1	0	3
MT1G	0	0	1
MT1H	0	0	1
CES1	0	0	1
SSNA1	0	0	1
MYCBP2	0	0	6
Rrh	0	0	1
IL2RG	0	0	5
Mtor	0	0	3
PEX25	0	0	2
PEX26	0	0	3
C4A	0	0	2
PSMB10	0	0	1
C4B	0	0	1
BSG	1	0	10
RACGAP1	0	0	10
PEG10	0	0	2
STK38L	0	0	2
ATXN7L2	0	0	1
ATXN7L3	0	0	8
Bcor	0	0	3
BSN	0	0	4
YES1	0	0	19
NTNG2	0	0	1
MSR1	0	0	1
XBP1	0	0	16
APOBEC3G	0	0	2
NTNG1	0	0	1
TNFSF15	0	0	2
TNFSF13	0	0	7
TNFSF14	2	1,00	7
YOL086W-A	0	0	14
IGF1	0	0	11
TFB2M	0	0	1
IGF2	0	0	10
RNF144B	0	0	6
CNKSR2	0	0	6
CNKSR1	0	0	8
MC1R	0	0	1
RNF144A	0	0	11
CWF19L1	0	0	1
NET1	0	0	4
GRAP	0	0	6
SDC1	0	0	9
BTK	0	0	24
SDC2	0	0	13
SPDYA	0	0	3
FBXL4	0	0	1
GRB2	0	0	207
FBXL3	0	0	4
FBXL6	0	0	1
FBXL5	0	0	1
GRB7	0	0	11
CES3	0	0	1
APOBEC3C	0	0	1
CETP	0	0	1
ZMYND19	0	0	4
ZBTB2	0	0	4
ZBTB1	0	0	5
ZBTB5	0	0	4
RCBTB2	0	0	1
ZBTB3	0	0	20
MT2A	0	0	3
LGALS4	0	0	2
APOM	0	0	2
LGALS3	0	0	6
LGALS2	0	0	1
LGALS1	0	0	14
FAM190B	0	0	7
TNFSF11	0	0	4
APOH	0	0	3
KCNN2	0	0	1
APOE	1	0	6
APOF	0	0	2
KCNN4	0	0	1
TNFSF10	0	0	5
LGALS9	0	0	3
LGALS8	0	0	4
APOD	0	0	3
LGALS7	0	0	4
APOB	1	0	21
MST4	0	0	16
BBS2	0	0	1
ZHX3	0	0	2
BBS1	0	0	2
SLC10A2	0	0	1
GAB2	0	0	20
AGTRAP	0	0	5
KLHL2	0	0	1
GAB1	0	0	12
PRPF40B	0	0	2
KCNRG	0	0	4
GAB3	0	0	5
PRPF40A	0	0	11
ZHX1	0	0	34
RAP2A	0	0	10
ZHX2	0	0	4
MC3R	0	0	1
ZBTB9	0	0	15
RAP2B	0	0	5
TFAP4	0	0	1
KCNS3	0	0	1
KLHL8	0	0	1
KLHL9	0	0	4
IGHE	0	0	1
TAX1BP1	0	0	6
C14orf4	0	0	1
TAX1BP3	0	0	4
FAM193B	1	0	1
MSTN	0	0	2
C14orf1	0	0	50
Atr	0	0	1
Hnrnpr	0	0	1
DHX8	0	0	1
DHX9	0	0	25
RRAD	0	0	5
MRPS14	0	0	2
SDC3	0	0	7
MRPS12	0	0	5
SDC4	0	0	3
Mtap2	0	0	1
TGFA	0	0	4
C8A	0	0	2
TFB1M	0	0	2
Mtap6	0	0	1
C8B	0	0	2
Mtap4	0	0	1
NEU3	0	0	2
C8G	0	0	1
NEU4	0	0	3
RAP1A	0	0	23
SH3BGRL	0	0	2
RAP1B	0	0	1
NEU1	0	0	4
RRAS	0	0	7
FCER1A	0	0	1
FCER1G	1	0	1
DYNC1I2	0	0	2
DYNC1I1	0	0	5
BBS4	0	0	2
MRPS27	0	0	3
SORT1	0	0	5
MRPS25	0	0	1
SYK	2	0	43
MRPS26	0	0	2
GAD2	0	0	3
GAD1	0	0	4
MRPS24	0	0	1
SYP	0	0	6
MRPS21	0	0	2
CACYBP	0	0	9
MRPS22	0	0	1
APRT	0	0	2
Mad1l1	0	0	1
BRMS1	0	0	8
KCNQ1	0	0	8
KCNQ2	0	0	5
FAM195A	0	0	1
MC5R	0	0	1
KCNQ3	0	0	2
KCNQ5	0	0	2
TACC2	0	0	3
TACC3	0	0	4
HDGF	0	0	1
RAD1	0	0	10
TACC1	0	0	8
DYNC1H1	0	0	13
IGHM	0	0	4
SELPLG	0	0	2
MRPS34	0	0	3
MRPS35	0	0	1
PRICKLE3	0	0	1
PRICKLE1	0	0	1
RRD2	0	0	1
MRPS31	0	0	3
POFUT2	0	0	1
ENPP1	0	0	2
GRE1	0	0	1
MC4R	0	0	3
SUFU	0	0	14
DMBT1	0	0	2
RAC3	0	0	3
SDF4	0	0	1
RAC1	0	0	83
SDF2	0	0	1
RAC2	0	0	10
YKR023W	0	0	1
MRE11A	0	0	20
APTX	0	0	4
SDHB	0	0	1
DHDDS	0	0	3
ZNF70	0	0	1
DNAJB11	0	0	6
ZNF74	0	0	2
DENND4A	0	0	7
Dusp22	0	0	2
RAF1	2	0	77
Nr3c1	0	0	1
INPPL1	0	0	8
RRF1	0	0	1
ZNF83	0	0	1
TBX21	0	0	6
IGKC	0	0	3
Kcnab2	0	0	1
SLIT2	0	0	2
TBX20	0	0	1
MSX1	0	0	10
MSX2	1	0	15
Kcnab1	0	0	1
DENND5A	0	0	1
RAE1	0	0	55
Dusp10	0	0	1
CARD10	0	0	1
CARD11	0	0	2
IGF2R	0	0	4
PCYT1B	0	0	3
IFT20	0	0	5
ZNF92	0	0	2
PSPC1	0	0	3
FGF19	0	0	1
FGF10	0	0	1
Rtdr1	0	0	1
CARD14	1	0	2
FGF13	0	0	1
IFT27	0	0	1
FGF12	0	0	2
HTRA2	0	0	5
TACO1	0	0	1
PLAU	19	1,00	9
PLAT	19	1,00	16
IGF1R	0	0	32
PLB1	0	0	1
TGM2	19	1,00	5
KCNV2	0	0	3
EEF2K	0	0	3
PPIP5K1	0	0	2
PIBF1	0	0	1
RAG1	0	0	5
TGM3	0	0	3
RAG2	0	0	4
PLDN	0	0	18
Creb1	0	0	1
SUN2	0	0	5
TNIP1	13	1,00	5
HUNK	0	0	1
SHANK1	0	0	11
ELF1	0	0	5
ELF2	0	0	2
ELF3	0	0	15
EEF1D	0	0	13
TNIP2	0	0	5
ELF4	0	0	4
ubc	0	0	1
TNIP3	0	0	1
ELF5	0	0	4
EEF1G	0	0	63
TAG	0	0	1
ZMYND10	0	0	1
ZMYND11	0	0	17
PLEC	0	0	9
SHANK3	0	0	6
SHANK2	0	0	13
TAT	0	0	10
PLD2	1	0	18
PLD1	0	0	13
TAZ	0	0	2
TROVE2	0	0	1
PLD3	0	0	1
PITPNC1	0	0	1
RAI1	0	0	8
GRK1	0	0	6
RAI2	0	0	2
CA2	0	0	6
GRK4	0	0	3
LASP1	0	0	5
CA4	0	0	1
GRK6	0	0	7
GRK5	0	0	13
CA8	0	0	2
LPXN	0	0	8
CA9	0	0	3
TBP	0	0	94
RRM2	0	0	2
Thrb	0	0	12
CAD	0	0	1
DAPK1	0	0	9
RRM1	0	0	3
Thra	0	0	1
DAPK3	0	0	7
CAT	0	0	4
SIGIRR	0	0	5
TH1L	0	0	26
CBL	2	0	80
GMCL1L	0	0	2
GRM1	0	0	2
IL1RL1	0	0	1
GRM3	0	0	4
CBS	0	0	5
ZIC3	0	0	1
GRM7	0	0	3
Dctn2	0	0	1
ZIC1	0	0	3
TDH	0	0	1
TDG	0	0	18
ZIC2	0	0	5
IFT57	0	0	2
Bub1	0	0	2
HOMER2	0	0	3
HOMER3	0	0	6
Nr1h4	0	0	1
HOMER1	0	0	11
HUS1	0	0	13
AFAP1	0	0	6
CCK	0	0	2
TEC	0	0	16
NUP93	0	0	15
CD2	0	0	13
CD5	0	0	7
Snap25	0	0	4
OSTM1	0	0	4
CD4	0	0	17
MEX3B	0	0	2
CCS	0	0	2
NUP98	0	0	23
Snap23	0	0	4
SDPR	0	0	2
CD7	0	0	4
Dapk2	0	0	1
ZSCAN20	0	0	1
CD6	0	0	3
KRTAP4-12	0	0	73
CD9	0	0	16
VPS20	0	0	2
TEK	0	0	6
TVP15	0	0	1
VPS25	0	0	5
GTF2IRD1	0	0	5
VPS24	0	0	4
VPS29	0	0	2
VPS28	0	0	6
TES	0	0	5
GALT	0	0	1
RRN3	0	0	13
RALB	0	0	4
RALA	0	0	20
HECW1	0	0	5
UBP13	0	0	1
MTA1	0	0	22
MTA2	0	0	28
SIP18	0	0	1
SV2C	0	0	1
TFG	1	0	7
SV2B	0	0	2
NUP85	0	0	9
TGS1	0	0	5
Hes1	0	0	1
VPS11	0	0	11
ZSCAN16	0	0	2
NUP88	0	0	3
VPS16	0	0	3
ZSCAN18	0	0	1
MTA3	0	0	1
APOL1	0	0	1
RALY	0	0	3
ST3GAL2	0	0	1
VPS18	0	0	10
ST3GAL3	0	0	4
PRKCH	0	0	2
NFE2	0	0	7
PLK4	0	0	3
PRKCG	0	0	7
EDARADD	0	0	2
NFE4	1	0	5
PRKCI	0	0	18
PRKCD	1	0	28
PLK1	0	0	59
MCAM	0	0	1
PLK3	0	0	8
PRKCE	0	0	27
PLK2	0	0	2
PRKCB	0	0	23
PRKCA	0	0	36
ELL2	0	0	1
ELL3	0	0	1
COPZ2	0	0	1
COPZ1	0	0	1
SF3B14	0	0	2
Bcr	0	0	2
PRKCZ	0	0	39
BCAN	0	0	8
BCAM	0	0	1
PRKD1	0	0	14
PRKD3	0	0	2
PRKCQ	0	0	11
PRKD2	0	0	1
FREM1	0	0	1
CFB	1	1,00	2
Set	0	0	1
RRP8	0	0	1
MCA1	0	0	2
CFD	0	0	1
IPO13	0	0	10
CFI	1	0	1
CFH	1	0	7
PRKDC	1	0	65
ELK1	0	0	10
CFP	0	0	3
IPO11	0	0	5
ELK3	0	0	1
ELK4	0	0	2
L3MBTL	0	0	8
MTBP	0	0	1
MTC2	0	0	1
MTC3	0	0	1
MTC4	0	0	1
ALCAM	0	0	1
NUP62	1	0	19
CGB	0	0	1
CGA	0	0	4
BTF3	0	0	3
EXOC8	0	0	14
MCD1	0	0	1
IL10RB	0	0	2
IL10RA	0	0	3
CGN	0	0	6
PHOX2A	0	0	3
IL1F5	0	0	3
MTF1	0	0	1
MTF2	0	0	4
IL1F7	0	0	3
GAS1	0	0	1
EXOC5	0	0	2
RARB	0	0	7
Tuba4a	0	0	1
EXOC4	0	0	7
EXOC7	0	0	13
GART	0	0	1
RARA	0	0	47
GARS	0	0	2
GAS7	0	0	1
GAS6	0	0	3
MOCS2	0	0	1
EXOC3	0	0	4
EXOC2	0	0	4
GAS8	0	0	3
Ngfr	0	0	2
BTG4	0	0	2
BTG2	0	0	10
BTG1	0	0	5
CHM	0	0	6
PRDM16	0	0	3
PRDM14	0	0	3
RTDR1	0	0	1
SDT1	0	0	1
PRDM13	0	0	1
CHP	0	0	6
Thy1	0	0	1
MTDH	0	0	1
SDSL	0	0	1
SPTA1	0	0	9
Errfi1	0	0	1
Shh	0	0	3
NDNL2	0	0	2
TK1	0	0	17
GAR1	0	0	7
SUV3	0	0	1
RRS1	0	0	1
CIC	0	0	1
CDKN2C	0	0	14
CDKN2D	0	0	3
CDKN2A	0	0	29
MCF2	0	0	7
CDKN2B	0	0	6
ELP2	0	0	9
ELP3	0	0	5
RRP1B	0	0	28
C1orf182	0	0	1
ELP4	0	0	3
CIT	0	0	6
TOM1L2	0	0	1
RPL4P5	0	0	3
NFIB	0	0	3
NFIC	0	0	7
TOM1L1	0	0	16
PLP2	0	0	1
PLP1	0	0	1
PLIN3	0	0	3
TIMELESS	0	0	12
TKT	0	0	2
SETD5	0	0	3
Tnfrsf14	0	0	2
CDKN1B	0	0	31
CDKN1C	0	0	9
CDKN1A	0	0	45
RARG	0	0	4
SETD7	0	0	6
SETD8	0	0	1
STON2	0	0	6
RARS	0	0	5
ASGR1	0	0	1
Nr1i3	0	0	1
Nr1i2	0	0	2
C1orf190	0	0	10
ASGR2	0	0	1
SNCAIP	0	0	14
OLFML3	0	0	4
MTG1	0	0	1
ASH2L	1	0	24
ADAMTSL4	0	0	11
CKB	0	0	4
RRP15	0	0	4
Tuba1a	0	0	9
RRP12	0	0	1
NFI1	0	0	2
Mdh1	0	0	1
GAST	0	0	1
SETD2	0	0	3
PAIP1	0	0	3
PAIP2	1	0	4
Rab11b	0	0	1
FAM48A	0	0	3
BCHE	0	0	1
CKM	0	0	4
FKBPL	0	0	1
DIO2	1	0	9
LARP4B	0	0	1
HIPK2	0	0	25
HIPK1	0	0	4
Rbx1	0	0	4
HIPK3	0	0	9
COPS5	0	0	65
COPS4	0	0	15
OBSCN	0	0	2
COPS6	0	0	112
MTNR1A	0	0	3
UBOX5	0	0	13
COPS3	0	0	19
COPS2	0	0	21
FKBP8	0	0	5
FKBP5	0	0	11
FKBP4	0	0	20
COPS8	0	0	13
FKBP7	0	0	1
FRA10AC1	0	0	7
FKBP6	0	0	2
GTF2I	0	0	25
NFIX	0	0	6
FKBP3	0	0	6
FKBP2	0	0	5
GTF2B	0	0	37
C1orf174	0	0	4
TCEAL1	0	0	17
TNC	0	0	3
TNF	2	1,00	10
CLU	0	0	10
PAPSS1	0	0	3
THG1L	0	0	1
PAPSS2	0	0	1
RNU11	0	0	25
ABLIM1	0	0	13
TNN	0	0	1
mad2	0	0	1
ABLIM2	0	0	1
ABLIM3	0	0	1
TCEAL4	0	0	4
TNR	0	0	3
TCEAL2	0	0	3
CFL2	0	0	2
CFL1	0	0	13
MAP2K4	0	0	16
MAP2K5	1	0	8
MAP2K2	0	0	6
MAP2K3	0	0	10
PPEF1	0	0	1
MAP2K1	2	0	18
Btbd2	0	0	1
GTF3A	0	0	4
PHO13	0	0	1
SYNJ2	0	0	5
PITPNM2	2	0	1
SYNJ1	0	0	6
PITPNM1	0	0	1
PITPNM3	0	0	1
PPEF2	0	0	1
MOCS3	0	0	2
CNO	0	0	3
C1orf156	0	0	1
INSIG2	0	0	2
INSIG1	0	0	10
Arl3	0	0	1
Arl2	0	0	1
VPS70	0	0	1
Sp1	0	0	6
VPS72	0	0	4
TPR	0	0	10
TCEANC	0	0	8
BTLA	0	0	1
EVI5L	0	0	1
OIP5	0	0	1
MAP2K6	0	0	10
PLS3	0	0	2
IL13RA1	0	0	1
MAP2K7	0	0	16
MOBKL1B	0	0	8
COP	0	0	2
DIS3	0	0	4
AVPR2	0	0	5
SGIP1	0	0	1
LANCL2	0	0	1
APOA2	0	0	3
APOA4	0	0	1
KBTBD10	0	0	3
BCL9	0	0	1
VPS60	0	0	1
BCL6	0	0	18
CPE	0	0	9
APOA1	0	0	15
MCM4	0	0	24
BCL3	20	1,00	20
MCM5	0	0	16
CEBPZ	0	0	7
BCL2	0	0	60
MCM6	1	0	27
MCM7	0	0	43
MCM2	0	0	35
MCM3	0	0	24
C1orf116	0	0	1
BMPR2	1	0	38
MOBKL2B	0	0	3
COL14A1	0	0	2
VPS4A	0	0	3
Traf5	0	0	2
VPS4B	0	0	3
Traf6	0	0	1
MTM1	0	0	1
KNG1	0	0	10
TRO	0	0	2
PLTP	0	0	3
VPS52	0	0	2
XIRP2	0	0	1
Traf1	0	0	1
Hdgfrp3	0	0	2
Traf3	0	0	1
Traf2	0	0	1
GAL3ST4	0	0	1
MCL1	0	0	22
C1orf128	0	0	1
PRKG2	0	0	1
PRKG1	1	0	10
CR1	0	0	1
C1orf103	0	0	95
CR2	0	0	7
CPT1A	0	0	1
RALGAPA1	0	0	1
MTOR	0	0	37
TSN	0	0	2
ASXL2	0	0	2
ASXL1	0	0	1
DVL1L1	0	0	1
APOC1	0	0	1
VPS41	0	0	1
TST	0	0	1
PPAP2C	0	0	2
APOC2	0	0	1
VPS45	0	0	2
CRH	0	0	4
CRK	0	0	48
ALDH9A1	0	0	5
HDAC5	0	0	46
CEBPA	0	0	34
HDAC6	0	0	36
CEBPB	0	0	41
CRP	0	0	5
HDAC3	2	0	98
HDAC4	0	0	64
CEBPD	0	0	6
HDAC1	1	0	205
MCM8	0	0	5
CEBPE	0	0	13
C1orf111	0	0	1
HDAC2	0	0	121
DGCR14	0	0	1
CEBPG	0	0	4
TCP10L	0	0	2
Srf	0	0	1
SYNE1	0	0	6
CRX	0	0	5
TENC1	0	0	1
TULP2	0	0	2
TTK	0	0	2
TTN	0	0	14
HDAC9	0	0	27
HDAC7	0	0	27
MAL31	0	0	1
HDAC8	0	0	6
SYNE2	0	0	2
TTR	0	0	14
THBD	0	1,00	2
HECTD1	0	0	1
HECTD3	0	0	2
VPS36	0	0	3
CSK	0	0	23
VPS35	0	0	4
TCEB3B	0	0	11
C1orf107	0	0	1
TUB	0	0	4
SLC35A2	0	0	2
DYNC2H1	0	0	2
IFRD1	0	0	4
IL1R1	0	0	10
IL1R2	0	0	1
Tmsb4x	0	0	7
IFRD2	0	0	2
THEG	0	0	2
NIF3L1	0	0	33
IL23A	0	0	3
FAM40A	0	0	20
FAM40B	0	0	12
PRKRA	0	0	10
BCOR	0	0	14
OBSL1	0	0	3
TECPR2	0	0	1
TECPR1	0	0	9
MTPN	0	0	5
RGPD1	0	0	1
Fcho1	0	0	2
IL21R	0	0	3
AQP5	0	0	1
AQP3	0	0	2
AQP4	0	0	1
RGPD5	0	0	5
AQP1	0	0	6
Atp6v0a1	0	0	1
AQP2	0	0	1
RGPD4	0	0	1
ARFIP2	0	0	9
ARFIP1	0	0	3
C12orf45	0	0	2
BTRC	0	0	59
C12orf44	0	0	32
SH2D1A	0	0	7
SH2D1B	0	0	2
SYNRG	0	0	4
GBAS	0	0	30
Zbtb8b	0	0	1
ZZZ3	0	0	12
VNN2	0	0	1
IGKV2D-29	0	0	2
KIAA0947	0	0	1
CFTR	1	0	25
CRHR1	0	0	7
SLC22A4	0	0	1
IL1RN	0	0	2
TCERG1	0	0	28
SLC22A6	0	0	1
HDAC11	0	0	5
SLC22A1	0	0	1
HDAC10	0	0	10
IL23R	0	0	2
MPHOSPH10	0	0	2
TXK	0	0	1
TXN	0	0	13
PITPNA	0	0	4
CRHR2	0	0	1
NFU1	0	0	2
SYNPO	0	0	3
ARGLU1	0	0	1
THI7	0	0	1
SLC35E1	0	0	2
TYK2	0	0	20
MTSS1	0	0	1
SCNM1	0	0	2
NFX1	0	0	6
COPG2	0	0	6
C12orf12	0	0	3
C12orf11	0	0	1
AVPI1	1	0	1
DTYMK	0	0	2
SDCCAG3	0	0	4
MTTP	0	0	1
CAB39L	0	0	2
C6orf25	0	0	2
DGCR6L	0	0	7
SEC61B	0	0	9
TMED3	0	0	2
TMED2	0	0	3
TMED1	0	0	1
SPRR2C	0	0	1
SVIL	0	0	6
ZYG11B	0	0	1
NFYB	0	0	9
GBF1	0	0	3
FAM46C	0	0	4
NFYC	0	0	26
