PATHWAY_ID	K	L1	# NODES	# EDGES	AVG. DIFF. EXP. CASES	AVG. INFO. CONTENT
1	0	15	48	59	33	0,1
2	0	15	47	52	32	0,1
3	0	15	46	52	31	0,09
4	0	15	46	47	31	0,09
5	0	15	45	55	30	0,08
6	0	15	45	49	30	0,08
7	0	15	45	51	30	0,08
8	0	15	45	48	30	0,08
9	0	15	45	59	30	0,08
10	0	15	44	49	29	0,07
11	0	15	44	46	29	0,07
12	0	15	44	51	29	0,07
13	0	15	44	50	29	0,07
14	0	15	44	44	29	0,07
15	0	15	44	45	29	0,07
16	0	15	44	62	29	0,07
17	0	15	44	52	29	0,07
18	0	15	44	50	29	0,07
19	0	15	44	49	29	0,07
20	0	15	43	53	28	0,07
1	0	50	93	130	43	0
2	0	50	93	111	43	0
3	0	50	93	109	43	0
4	0	50	92	117	42	0,01
5	0	50	92	140	42	0,01
6	0	50	91	128	41	0,01
7	0	50	91	111	41	0,01
8	0	50	91	120	41	0,01
9	0	50	91	115	41	0,01
10	0	50	91	102	41	0,01
11	0	50	90	108	40	0,01
12	0	50	90	118	40	0,01
13	0	50	90	102	40	0,01
14	0	50	90	122	40	0,01
15	0	50	90	116	40	0,01
16	0	50	90	104	40	0,01
17	0	50	90	95	40	0,01
18	0	50	90	121	40	0,01
19	0	50	90	115	40	0,01
20	0	50	90	114	40	0,01
1	0	35	75	84	40	0
2	0	35	73	85	38	0
3	0	35	73	80	38	0
4	0	35	73	82	38	0
5	0	35	73	88	38	0
6	0	35	73	86	38	0
7	0	35	73	87	38	0
8	0	35	72	74	37	0
9	0	35	72	81	37	0
10	0	35	72	88	37	0
11	0	35	72	96	37	0
12	0	35	72	79	37	0
13	0	35	72	96	37	0
14	0	35	72	74	37	0
15	0	35	72	86	37	0
16	0	35	72	83	37	0
17	0	35	71	81	36	0
18	0	35	71	84	36	0
19	0	35	71	82	36	0
20	0	35	71	75	36	0
1	0	20	54	61	34	0,05
2	0	20	53	59	33	0,04
3	0	20	53	63	33	0,04
4	0	20	53	65	33	0,04
5	0	20	53	61	33	0,04
6	0	20	52	62	32	0,04
7	0	20	52	60	32	0,04
8	0	20	52	70	32	0,04
9	0	20	52	58	32	0,04
10	0	20	52	56	32	0,04
11	0	20	52	64	32	0,04
12	0	20	51	65	31	0,03
13	0	20	51	60	31	0,03
14	0	20	51	57	31	0,03
15	0	20	51	58	31	0,03
16	0	20	51	54	31	0,03
17	0	20	51	58	31	0,03
18	0	20	51	59	31	0,03
19	0	20	51	57	31	0,03
20	0	20	51	57	31	0,03
1	0	40	81	98	41	0
2	0	40	80	95	40	0
3	0	40	80	91	40	0
4	0	40	79	101	39	0
5	0	40	79	108	39	0
6	0	40	78	86	38	0
7	0	40	78	86	38	0
8	0	40	78	94	38	0
9	0	40	78	88	38	0
10	0	40	78	83	38	0
11	0	40	78	82	38	0
12	0	40	78	93	38	0
13	0	40	78	95	38	0
14	0	40	77	82	37	0
15	0	40	77	88	37	0
16	0	40	77	102	37	0
17	0	40	77	86	37	0
18	0	40	77	98	37	0
19	0	40	77	86	37	0
20	0	40	77	94	37	0
1	0	25	61	69	36	0,02
2	0	25	60	69	35	0,02
3	0	25	59	63	34	0,02
4	0	25	59	75	34	0,02
5	0	25	59	68	34	0,02
6	0	25	59	69	34	0,02
7	0	25	58	67	33	0,01
8	0	25	58	69	33	0,01
9	0	25	58	61	33	0,01
10	0	25	58	65	33	0,01
11	0	25	58	75	33	0,01
12	0	25	58	64	33	0,01
13	0	25	58	68	33	0,01
14	0	25	58	71	33	0,01
15	0	25	58	67	33	0,01
16	0	25	58	65	33	0,01
17	0	25	58	66	33	0,01
18	0	25	58	68	33	0,01
19	0	25	58	75	33	0,01
20	0	25	58	70	33	0,01
1	0	10	39	42	29	0,18
2	0	10	39	43	29	0,18
3	0	10	38	44	28	0,17
4	0	10	37	41	27	0,16
5	0	10	37	46	27	0,16
6	0	10	37	44	27	0,16
7	0	10	37	42	27	0,16
8	0	10	37	41	27	0,16
9	0	10	36	42	26	0,15
10	0	10	36	41	26	0,15
11	0	10	36	45	26	0,15
12	0	10	36	42	26	0,15
13	0	10	36	40	26	0,15
14	0	10	36	41	26	0,15
15	0	10	36	40	26	0,15
16	0	10	36	41	26	0,15
17	0	10	35	39	25	0,14
18	0	10	35	38	25	0,14
19	0	10	35	38	25	0,14
20	0	10	35	35	25	0,14
1	0	45	87	113	42	0
2	0	45	87	108	42	0
3	0	45	87	115	42	0
4	0	45	86	105	41	0
5	0	45	86	113	41	0
6	0	45	86	108	41	0
7	0	45	85	102	40	0
8	0	45	85	106	40	0
9	0	45	85	109	40	0
10	0	45	85	120	40	0
11	0	45	85	119	40	0
12	0	45	84	100	39	0
13	0	45	84	97	39	0
14	0	45	84	102	39	0
15	0	45	84	108	39	0
16	0	45	84	101	39	0
17	0	45	84	97	39	0
18	0	45	83	109	38	0,01
19	0	45	83	104	38	0,01
20	0	45	83	103	38	0,01
1	0	30	69	80	39	0,01
2	0	30	68	85	38	0,01
3	0	30	68	85	38	0,01
4	0	30	67	76	37	0,01
5	0	30	66	78	36	0,01
6	0	30	66	72	36	0,01
7	0	30	66	72	36	0,01
8	0	30	65	78	35	0
9	0	30	65	81	35	0
10	0	30	65	72	35	0
11	0	30	65	78	35	0
12	0	30	65	81	35	0
13	0	30	64	80	34	0
14	0	30	64	76	34	0
15	0	30	64	85	34	0
16	0	30	64	86	34	0
17	0	30	64	79	34	0
18	0	30	64	80	34	0
19	0	30	64	73	34	0
20	0	30	64	68	34	0
