1	"31528"
1	"pp"
2	"pp"
2	"33925"
3	"pp"
3	"11255"
4	"pp"
4	"13652"
5	"pp"
5	"35222"
6	"pp"
6	"35488"
7	"30329"
7	"pp"
8	"pp"
8	"32726"
9	"pp"
9	"14851"
10	"pp"
10	"12454"
11	"pp"
11	"10057"
12	"pp"
12	"34024"
13	"pp"
13	"31527"
14	"pp"
14	"33926"
15	"pp"
15	"13653"
16	"pp"
16	"11254"
17	"pp"
17	"35489"
18	"pp"
18	"35223"
19	"pp"
19	"12455"
20	"pp"
20	"14850"
